data,estado,nomeCidade,codigo,casos,mortes
2020-03-27,AC,Acrelândia,120001,0,0
2020-03-28,AC,Acrelândia,120001,0,0
2020-03-29,AC,Acrelândia,120001,2,0
2020-03-30,AC,Acrelândia,120001,4,0
2020-03-31,AC,Acrelândia,120001,1,0
2020-04-01,AC,Acrelândia,120001,1,0
2020-04-02,AC,Acrelândia,120001,0,0
2020-04-03,AC,Acrelândia,120001,1,0
2020-04-04,AC,Acrelândia,120001,0,0
2020-04-05,AC,Acrelândia,120001,0,0
2020-04-06,AC,Acrelândia,120001,0,0
2020-04-07,AC,Acrelândia,120001,0,1
2020-04-08,AC,Acrelândia,120001,0,0
2020-04-09,AC,Acrelândia,120001,0,0
2020-04-10,AC,Acrelândia,120001,0,0
2020-04-11,AC,Acrelândia,120001,0,0
2020-04-12,AC,Acrelândia,120001,1,0
2020-04-13,AC,Acrelândia,120001,1,0
2020-04-14,AC,Acrelândia,120001,0,0
2020-04-15,AC,Acrelândia,120001,0,0
2020-04-16,AC,Acrelândia,120001,0,0
2020-04-17,AC,Acrelândia,120001,1,0
2020-04-18,AC,Acrelândia,120001,0,0
2020-04-19,AC,Acrelândia,120001,0,0
2020-04-20,AC,Acrelândia,120001,0,0
2020-04-21,AC,Acrelândia,120001,0,0
2020-04-22,AC,Acrelândia,120001,0,0
2020-04-23,AC,Acrelândia,120001,0,0
2020-04-24,AC,Acrelândia,120001,0,0
2020-04-25,AC,Acrelândia,120001,0,0
2020-04-26,AC,Acrelândia,120001,0,0
2020-04-27,AC,Acrelândia,120001,1,0
2020-04-28,AC,Acrelândia,120001,0,0
2020-04-29,AC,Acrelândia,120001,0,0
2020-04-30,AC,Acrelândia,120001,0,0
2020-05-01,AC,Acrelândia,120001,0,0
2020-05-02,AC,Acrelândia,120001,0,0
2020-05-03,AC,Acrelândia,120001,1,0
2020-05-04,AC,Acrelândia,120001,1,0
2020-05-05,AC,Acrelândia,120001,1,1
2020-05-06,AC,Acrelândia,120001,-1,1
2020-05-07,AC,Acrelândia,120001,0,1
2020-05-08,AC,Acrelândia,120001,2,1
2020-05-09,AC,Acrelândia,120001,11,1
2020-05-10,AC,Acrelândia,120001,2,1
2020-05-11,AC,Acrelândia,120001,0,1
2020-05-12,AC,Acrelândia,120001,1,1
2020-05-13,AC,Acrelândia,120001,8,1
2020-05-14,AC,Acrelândia,120001,8,1
2020-05-15,AC,Acrelândia,120001,12,1
2020-05-16,AC,Acrelândia,120001,8,1
2020-05-17,AC,Acrelândia,120001,0,1
2020-05-18,AC,Acrelândia,120001,7,1
2020-05-19,AC,Acrelândia,120001,0,1
2020-05-20,AC,Acrelândia,120001,16,1
2020-05-21,AC,Acrelândia,120001,9,1
2020-05-22,AC,Acrelândia,120001,20,1
2020-05-23,AC,Acrelândia,120001,10,1
2020-05-24,AC,Acrelândia,120001,0,1
2020-05-25,AC,Acrelândia,120001,0,1
2020-05-26,AC,Acrelândia,120001,3,1
2020-05-27,AC,Acrelândia,120001,13,1
2020-05-28,AC,Acrelândia,120001,5,1
2020-05-29,AC,Acrelândia,120001,8,1
2020-05-30,AC,Acrelândia,120001,0,1
2020-05-31,AC,Acrelândia,120001,0,1
2020-06-01,AC,Acrelândia,120001,0,1
2020-06-02,AC,Acrelândia,120001,0,1
2020-06-03,AC,Acrelândia,120001,2,1
2020-06-04,AC,Acrelândia,120001,5,1
2020-06-05,AC,Acrelândia,120001,0,1
2020-06-06,AC,Acrelândia,120001,0,2
2020-06-07,AC,Acrelândia,120001,0,2
2020-06-08,AC,Acrelândia,120001,1,2
2020-06-09,AC,Acrelândia,120001,1,2
2020-06-10,AC,Acrelândia,120001,0,2
2020-06-11,AC,Acrelândia,120001,0,2
2020-06-12,AC,Acrelândia,120001,5,2
2020-06-13,AC,Acrelândia,120001,0,2
2020-06-14,AC,Acrelândia,120001,6,2
2020-06-15,AC,Acrelândia,120001,0,2
2020-06-16,AC,Acrelândia,120001,0,2
2020-06-17,AC,Acrelândia,120001,2,2
2020-06-18,AC,Acrelândia,120001,1,2
2020-06-19,AC,Acrelândia,120001,0,2
2020-06-20,AC,Acrelândia,120001,0,2
2020-06-21,AC,Acrelândia,120001,0,2
2020-06-22,AC,Acrelândia,120001,4,2
2020-06-23,AC,Acrelândia,120001,0,2
2020-06-24,AC,Acrelândia,120001,0,3
2020-06-25,AC,Acrelândia,120001,0,3
2020-06-26,AC,Acrelândia,120001,7,3
2020-06-27,AC,Acrelândia,120001,0,3
2020-06-28,AC,Acrelândia,120001,0,3
2020-06-29,AC,Acrelândia,120001,0,3
2020-06-30,AC,Acrelândia,120001,0,3
2020-07-01,AC,Acrelândia,120001,2,3
2020-07-02,AC,Acrelândia,120001,5,3
2020-07-03,AC,Acrelândia,120001,0,3
2020-07-04,AC,Acrelândia,120001,0,3
